Sample	Mechanism	Hits
FAT_006-22-14-0_came_from_before	Rifampin	170
FAT_006-22-14-0_came_from_before	betalactams	177
FAT_006-22-14-0_came_from_both	Aminoglycosides	114
FAT_006-22-14-0_came_from_both	Tetracyclines	3592
FAT_006-22-14-0_came_from_donor	betalactams	0
FAT_006-22-14-0_came_itself	Aminocoumarins	65
FAT_006-22-14-0_came_itself	Aminoglycosides	12
FAT_006-22-14-0_came_itself	Cationic antimicrobial peptides	89
FAT_006-22-14-0_came_itself	Fosfomycin	97
FAT_006-22-14-0_came_itself	MLS	11
FAT_006-22-14-0_came_itself	Multi-drug resistance	492
FAT_006-22-14-0_came_itself	Trimethoprim	10
FAT_006-22-14-0_came_itself	betalactams	53
FAT_006-22-14-0_gone	MLS	4006
FAT_006-22-14-0_gone	Phenicol	18
FAT_006-22-14-0_gone	Rifampin	970
FAT_006-22-14-0_gone	betalactams	15
FAT_006-22-14-0_not_settle	Aminoglycosides	3010
FAT_006-22-14-0_not_settle	Elfamycins	139
FAT_006-22-14-0_not_settle	Fluoroquinolones	245
FAT_006-22-14-0_not_settle	MLS	17065
FAT_006-22-14-0_not_settle	Multi-drug resistance	83
FAT_006-22-14-0_not_settle	Nucleosides	62
FAT_006-22-14-0_not_settle	Phenicol	54
FAT_006-22-14-0_not_settle	Rifampin	271
FAT_006-22-14-0_not_settle	Tetracyclines	3139
FAT_006-22-14-0_not_settle	Trimethoprim	136
FAT_006-22-14-0_not_settle	betalactams	364
FAT_006-22-14-0_settle	Aminoglycosides	993
FAT_006-22-14-0_settle	Phenicol	89
FAT_006-22-14-0_settle	Tetracyclines	26845
FAT_006-22-14-0_stay	Aminoglycosides	206
FAT_006-22-14-0_stay	Phenicol	106
FAT_006-22-14-0_stay	Tetracyclines	5279
FAT_006-22-14-0_stay	betalactams	200
FAT_006-22-2-0_came_from_before	betalactams	91
FAT_006-22-2-0_came_from_both	Aminoglycosides	138
FAT_006-22-2-0_came_from_both	MLS	2228
FAT_006-22-2-0_came_from_both	Tetracyclines	4407
FAT_006-22-2-0_came_from_donor	Aminoglycosides	14
FAT_006-22-2-0_came_from_donor	Trimethoprim	32
FAT_006-22-2-0_came_from_donor	betalactams	23
FAT_006-22-2-0_came_itself	Aminocoumarins	229
FAT_006-22-2-0_came_itself	Bacitracin	85
FAT_006-22-2-0_came_itself	Cationic antimicrobial peptides	292
FAT_006-22-2-0_came_itself	Elfamycins	180
FAT_006-22-2-0_came_itself	Fluoroquinolones	251
FAT_006-22-2-0_came_itself	Fosfomycin	578
FAT_006-22-2-0_came_itself	MLS	201
FAT_006-22-2-0_came_itself	Multi-drug resistance	4372
FAT_006-22-2-0_came_itself	Rifampin	304
FAT_006-22-2-0_came_itself	Sulfonamides	24
FAT_006-22-2-0_came_itself	Tetracyclines	111
FAT_006-22-2-0_came_itself	Trimethoprim	50
FAT_006-22-2-0_came_itself	betalactams	408
FAT_006-22-2-0_gone	MLS	1070
FAT_006-22-2-0_gone	Phenicol	99
FAT_006-22-2-0_gone	Rifampin	5225
FAT_006-22-2-0_not_settle	Aminoglycosides	1152
FAT_006-22-2-0_not_settle	Elfamycins	127
FAT_006-22-2-0_not_settle	Fluoroquinolones	244
FAT_006-22-2-0_not_settle	MLS	7772
FAT_006-22-2-0_not_settle	Multi-drug resistance	61
FAT_006-22-2-0_not_settle	Nucleosides	16
FAT_006-22-2-0_not_settle	Tetracyclines	1252
FAT_006-22-2-0_not_settle	betalactams	15
FAT_006-22-2-0_settle	Aminoglycosides	915
FAT_006-22-2-0_settle	MLS	13961
FAT_006-22-2-0_settle	Phenicol	74
FAT_006-22-2-0_settle	Tetracyclines	29935
FAT_006-22-2-0_settle	Trimethoprim	465
FAT_006-22-2-0_settle	betalactams	277
FAT_006-22-2-0_stay	Aminoglycosides	203
FAT_006-22-2-0_stay	MLS	3852
FAT_006-22-2-0_stay	Phenicol	12
FAT_006-22-2-0_stay	Tetracyclines	5266
FAT_006-22-2-0_stay	betalactams	162
FAT_006-22-42-0_came_from_before	Phenicol	52
FAT_006-22-42-0_came_from_before	Rifampin	1025
FAT_006-22-42-0_came_from_before	betalactams	979
FAT_006-22-42-0_came_from_both	Aminoglycosides	240
FAT_006-22-42-0_came_from_both	MLS	3552
FAT_006-22-42-0_came_from_both	Tetracyclines	6005
FAT_006-22-42-0_came_from_donor	Tetracyclines	72
FAT_006-22-42-0_came_itself	betalactams	0
FAT_006-22-42-0_gone	MLS	456
FAT_006-22-42-0_not_settle	Aminoglycosides	1593
FAT_006-22-42-0_not_settle	Cationic antimicrobial peptides	97
FAT_006-22-42-0_not_settle	Elfamycins	141
FAT_006-22-42-0_not_settle	Fluoroquinolones	241
FAT_006-22-42-0_not_settle	MLS	11918
FAT_006-22-42-0_not_settle	Multi-drug resistance	88
FAT_006-22-42-0_not_settle	Nucleosides	56
FAT_006-22-42-0_not_settle	Phenicol	14
FAT_006-22-42-0_not_settle	Tetracyclines	3277
FAT_006-22-42-0_not_settle	Trimethoprim	256
FAT_006-22-42-0_not_settle	betalactams	87
FAT_006-22-42-0_settle	Aminoglycosides	1082
FAT_006-22-42-0_settle	MLS	13619
FAT_006-22-42-0_settle	Phenicol	119
FAT_006-22-42-0_settle	Tetracyclines	28608
FAT_006-22-42-0_stay	Aminoglycosides	250
FAT_006-22-42-0_stay	MLS	4929
FAT_006-22-42-0_stay	Phenicol	155
FAT_006-22-42-0_stay	Rifampin	2264
FAT_006-22-42-0_stay	Tetracyclines	5430
FAT_006-22-42-0_stay	betalactams	214
FAT_006-22-84-0_came_from_before	Rifampin	953
FAT_006-22-84-0_came_from_before	betalactams	58
FAT_006-22-84-0_came_from_both	Aminoglycosides	60
FAT_006-22-84-0_came_from_both	MLS	1165
FAT_006-22-84-0_came_from_both	Tetracyclines	1710
FAT_006-22-84-0_came_from_donor	betalactams	0
FAT_006-22-84-0_came_itself	betalactams	0
FAT_006-22-84-0_gone	MLS	1223
FAT_006-22-84-0_gone	Phenicol	11
FAT_006-22-84-0_not_settle	Aminoglycosides	2562
FAT_006-22-84-0_not_settle	Elfamycins	141
FAT_006-22-84-0_not_settle	Fluoroquinolones	245
FAT_006-22-84-0_not_settle	MLS	12781
FAT_006-22-84-0_not_settle	Multi-drug resistance	88
FAT_006-22-84-0_not_settle	Nucleosides	62
FAT_006-22-84-0_not_settle	Phenicol	194
FAT_006-22-84-0_not_settle	Tetracyclines	4216
FAT_006-22-84-0_not_settle	Trimethoprim	276
FAT_006-22-84-0_not_settle	betalactams	225
FAT_006-22-84-0_settle	Aminoglycosides	617
FAT_006-22-84-0_settle	MLS	10275
FAT_006-22-84-0_settle	Tetracyclines	24973
FAT_006-22-84-0_stay	Aminoglycosides	134
FAT_006-22-84-0_stay	MLS	3903
FAT_006-22-84-0_stay	Phenicol	29
