Sample	N_reads
FAT_006-22-0-0	68519722
FAT_006-22-14-0	35602092
FAT_006-22-2-0	35085636
FAT_006-22-42-0	59405836
FAT_006-22-84-0	22009358
FAT_008-22-0-0	43916826
FAT_008-22-14-0	66127336
FAT_008-22-2-0	60859260
FAT_008-22-42-0	50058276
FAT_008-22-84-0	38239874
FAT_012-22-0-0	78317940
FAT_012-22-14-0	82727544
FAT_012-22-2-0	54666748
FAT_012-22-42-0	49957950
FAT_012-22-84-0	47367274
FAT_015-22-0-0	64836662
FAT_015-22-14-0	48149222
FAT_015-22-2-0	73070836
FAT_015-22-42-0	79766090
FAT_015-22-84-0	46148548
FAT_020-22-0-0	52970910
FAT_020-22-14-0	75001068
FAT_020-22-2-0	35830140
FAT_020-22-42-0	17665070
FAT_020-22-84-0	91372272
FAT_DON_11-22-pooled	162435304
FAT_DON_11-22-0-4	47270822
FAT_DON_11-22-0-5	64093028
FAT_DON_11-22-0-6	51043506
FAT_DON_19-22-0-0	51589996
FAT_DON_8-22-0-0	58605630
peacemaker-11-0-0	133924182
bugkiller-11-773-0	70090864
peacemaker-11-7-0	130673430
daisy-11-7-0	36079794
tigress-11-2-0	22908494
scavenger-11-60-0	113991268
daisy-11-60-0	53124170
scavenger-11-7-0	160421050
peacemaker-11-600-0	52950090
peacemaker-11-773-0	81471668
peacemaker-11-60-0	79674574
bugkiller-11-60-0	47559194
bugkiller-11-600-0	32165604
daisy-11-2-0	44101728
scavenger-11-2-0	13273296
peacemaker-11-392-1	59548944
bugkiller-11-0-0	50078534
peacemaker-11-2-0	102770786
bugkiller-11-392-1	55986182
scavenger-11-0-0	115510402
bugkiller-11-2-0	62880742
tigress-11-7-0	52140602
tigress-11-0-0	62505726
tigress-11-60-0	51827700
scavenger-11-392-0	36956982
bugkiller-11-7-0	121601370
daisy-11-0-0	59075668
SPB_T21	33574416
SPB_T23	25448010
SPB_T25	21883444
SPB_T27	23195422
SPB_T29	20413926
SPB_T30	19062888
SPB_T31	21700850
SPB_T33	24722988
SPB_T35	21924766
SPB_T36	18532366
SPB_T37	26832762
SPB_T39	24008624
SPB_T41	26637980
SPB_T42	20258460
SPB_T43	22294402
SPB_T44	23919892
SPB_T45	18915020
DS01	43132762
DS02	74987172
DS03	54720964
DS04	55924436
R01_Pre	75989730
R01_W4	48845724
R01_W8	48213880
R02_Pre	6806446
R02_W4	60243968
R02_W8	72059190
