Sample	N_reads
FAT_006-22-14-0_came_from_before	7134598
FAT_006-22-14-0_came_from_both	1071902
FAT_006-22-14-0_came_from_donor	663540
FAT_006-22-14-0_came_itself	5350874
FAT_006-22-14-0_gone	27733568
FAT_006-22-14-0_not_settle	115401186
FAT_006-22-14-0_settle	5325216
FAT_006-22-14-0_stay	8948326
FAT_006-22-2-0_came_from_before	2919282
FAT_006-22-2-0_came_from_both	1585516
FAT_006-22-2-0_came_from_donor	4267706
FAT_006-22-2-0_came_itself	5726790
FAT_006-22-2-0_gone	40189366
FAT_006-22-2-0_not_settle	76957934
FAT_006-22-2-0_settle	21126758
FAT_006-22-2-0_stay	5854754
FAT_006-22-42-0_came_from_before	14928660
FAT_006-22-42-0_came_from_both	3585248
FAT_006-22-42-0_came_from_donor	333632
FAT_006-22-42-0_came_itself	8288636
FAT_006-22-42-0_gone	14388652
FAT_006-22-42-0_not_settle	106863254
FAT_006-22-42-0_settle	10325576
FAT_006-22-42-0_stay	17657928
FAT_006-22-84-0_came_from_before	4731326
FAT_006-22-84-0_came_from_both	703754
FAT_006-22-84-0_came_from_donor	145116
FAT_006-22-84-0_came_itself	3493486
FAT_006-22-84-0_gone	19387444
FAT_006-22-84-0_not_settle	123404606
FAT_006-22-84-0_settle	4372938
FAT_006-22-84-0_stay	12541076
FAT_008-22-14-0_came_from_before	1686562
FAT_008-22-14-0_came_from_both	5139630
FAT_008-22-14-0_came_from_donor	9601682
FAT_008-22-14-0_came_itself	11146144
FAT_008-22-14-0_gone	13100644
FAT_008-22-14-0_not_settle	52806600
FAT_008-22-14-0_settle	45186616
FAT_008-22-14-0_stay	9745604
FAT_008-22-2-0_came_from_before	30132
FAT_008-22-2-0_came_from_both	5084044
FAT_008-22-2-0_came_from_donor	15423688
FAT_008-22-2-0_came_itself	8692952
FAT_008-22-2-0_gone	20117150
FAT_008-22-2-0_not_settle	55354942
FAT_008-22-2-0_settle	43681364
FAT_008-22-2-0_stay	6442752
FAT_008-22-42-0_came_from_before	3167772
FAT_008-22-42-0_came_from_both	6353068
FAT_008-22-42-0_came_from_donor	4087488
FAT_008-22-42-0_came_itself	8638302
FAT_008-22-42-0_gone	13805562
FAT_008-22-42-0_not_settle	76840994
FAT_008-22-42-0_settle	23647420
FAT_008-22-42-0_stay	11259484
FAT_008-22-84-0_came_from_before	1226688
FAT_008-22-84-0_came_from_both	3616516
FAT_008-22-84-0_came_from_donor	4280012
FAT_008-22-84-0_came_itself	4753932
FAT_008-22-84-0_gone	16024582
FAT_008-22-84-0_not_settle	87461840
FAT_008-22-84-0_settle	18415040
FAT_008-22-84-0_stay	9087144
FAT_012-22-14-0_came_from_before	13561272
FAT_012-22-14-0_came_from_both	5593408
FAT_012-22-14-0_came_from_donor	2304168
FAT_012-22-14-0_came_itself	8859230
FAT_012-22-14-0_gone	13565204
FAT_012-22-14-0_not_settle	31103228
FAT_012-22-14-0_settle	8385718
FAT_012-22-14-0_stay	30664192
FAT_012-22-2-0_came_from_before	9462736
FAT_012-22-2-0_came_from_both	3430318
FAT_012-22-2-0_came_from_donor	2722666
FAT_012-22-2-0_came_itself	6860884
