sample	ko	hits
FAT_006-22-14-0_came_from_before	K20487	38
FAT_006-22-14-0_came_from_before	K20488	4
FAT_006-22-14-0_came_from_before	K20490	7
FAT_006-22-14-0_came_from_before	K20491	15
FAT_006-22-14-0_came_from_before	K20492	12
FAT_006-22-14-0_came_from_both	K20487	2355
FAT_006-22-14-0_came_from_both	K20488	1340
FAT_006-22-14-0_came_from_both	K20490	1476
FAT_006-22-14-0_came_from_both	K20491	1471
FAT_006-22-14-0_came_from_both	K20492	1506
FAT_006-22-14-0_came_from_donor	K20487	28
FAT_006-22-14-0_came_from_donor	K20488	33
FAT_006-22-14-0_came_from_donor	K20491	2
FAT_006-22-14-0_came_from_donor	K20492	5
FAT_006-22-14-0_came_itself	K20487	86
FAT_006-22-14-0_came_itself	K20488	40
FAT_006-22-14-0_came_itself	K20490	35
FAT_006-22-14-0_came_itself	K20491	57
FAT_006-22-14-0_came_itself	K20492	28
FAT_006-22-14-0_gone	K20487	421
FAT_006-22-14-0_gone	K20488	195
FAT_006-22-14-0_gone	K20490	104
FAT_006-22-14-0_gone	K20491	191
FAT_006-22-14-0_gone	K20492	140
FAT_006-22-14-0_not_settle	K20487	2076
FAT_006-22-14-0_not_settle	K20488	1244
FAT_006-22-14-0_not_settle	K20490	773
FAT_006-22-14-0_not_settle	K20491	686
FAT_006-22-14-0_not_settle	K20492	442
FAT_006-22-14-0_settle	K20487	13055
FAT_006-22-14-0_settle	K20488	8573
FAT_006-22-14-0_settle	K20490	6011
FAT_006-22-14-0_settle	K20491	7039
FAT_006-22-14-0_settle	K20492	7544
FAT_006-22-14-0_stay	K20487	2270
FAT_006-22-14-0_stay	K20488	1140
FAT_006-22-14-0_stay	K20490	1443
FAT_006-22-14-0_stay	K20491	1391
FAT_006-22-14-0_stay	K20492	1313
FAT_006-22-2-0_came_from_before	K20487	3
FAT_006-22-2-0_came_from_before	K20491	2
FAT_006-22-2-0_came_from_both	K20487	1473
FAT_006-22-2-0_came_from_both	K20488	1089
FAT_006-22-2-0_came_from_both	K20490	1015
FAT_006-22-2-0_came_from_both	K20491	1071
FAT_006-22-2-0_came_from_both	K20492	1062
FAT_006-22-2-0_came_from_donor	K20487	58
FAT_006-22-2-0_came_from_donor	K20488	67
FAT_006-22-2-0_came_from_donor	K20490	8
FAT_006-22-2-0_came_from_donor	K20491	5
FAT_006-22-2-0_came_from_donor	K20492	5
FAT_006-22-2-0_came_itself	K20487	27
FAT_006-22-2-0_came_itself	K20488	24
FAT_006-22-2-0_came_itself	K20490	10
FAT_006-22-2-0_came_itself	K20491	10
FAT_006-22-2-0_came_itself	K20492	5
FAT_006-22-2-0_gone	K20487	784
FAT_006-22-2-0_gone	K20488	188
FAT_006-22-2-0_gone	K20490	258
FAT_006-22-2-0_gone	K20491	289
FAT_006-22-2-0_gone	K20492	239
FAT_006-22-2-0_not_settle	K20487	2336
FAT_006-22-2-0_not_settle	K20488	774
FAT_006-22-2-0_not_settle	K20490	691
FAT_006-22-2-0_not_settle	K20491	772
FAT_006-22-2-0_not_settle	K20492	402
FAT_006-22-2-0_settle	K20487	13458
FAT_006-22-2-0_settle	K20488	8680
FAT_006-22-2-0_settle	K20490	6229
FAT_006-22-2-0_settle	K20491	7232
FAT_006-22-2-0_settle	K20492	7418
FAT_006-22-2-0_stay	K20487	1920
FAT_006-22-2-0_stay	K20488	1037
FAT_006-22-2-0_stay	K20490	1299
FAT_006-22-2-0_stay	K20491	1338
FAT_006-22-2-0_stay	K20492	1207
FAT_006-22-42-0_came_from_before	K20487	76
FAT_006-22-42-0_came_from_before	K20488	18
FAT_006-22-42-0_came_from_before	K20490	31
FAT_006-22-42-0_came_from_before	K20491	12
FAT_006-22-42-0_came_from_before	K20492	21
FAT_006-22-42-0_came_from_both	K20487	2397
FAT_006-22-42-0_came_from_both	K20488	1184
FAT_006-22-42-0_came_from_both	K20490	1261
FAT_006-22-42-0_came_from_both	K20491	1457
FAT_006-22-42-0_came_from_both	K20492	1413
FAT_006-22-42-0_came_from_donor	K20487	7
FAT_006-22-42-0_came_from_donor	K20488	6
FAT_006-22-42-0_came_from_donor	K20491	2
FAT_006-22-42-0_came_itself	K20487	136
FAT_006-22-42-0_came_itself	K20488	33
FAT_006-22-42-0_came_itself	K20490	43
FAT_006-22-42-0_came_itself	K20491	19
FAT_006-22-42-0_came_itself	K20492	37
FAT_006-22-42-0_gone	K20487	301
FAT_006-22-42-0_gone	K20488	62
FAT_006-22-42-0_gone	K20490	69
FAT_006-22-42-0_gone	K20491	99
FAT_006-22-42-0_gone	K20492	55
FAT_006-22-42-0_not_settle	K20487	2281
FAT_006-22-42-0_not_settle	K20488	750
FAT_006-22-42-0_not_settle	K20490	813
FAT_006-22-42-0_not_settle	K20491	784
FAT_006-22-42-0_not_settle	K20492	431
FAT_006-22-42-0_settle	K20487	12918
FAT_006-22-42-0_settle	K20488	8255
FAT_006-22-42-0_settle	K20490	5769
FAT_006-22-42-0_settle	K20491	7260
FAT_006-22-42-0_settle	K20492	7611
FAT_006-22-42-0_stay	K20487	2518
FAT_006-22-42-0_stay	K20488	1303
FAT_006-22-42-0_stay	K20490	1589
FAT_006-22-42-0_stay	K20491	1568
FAT_006-22-42-0_stay	K20492	1422
FAT_006-22-84-0_came_from_before	K20487	26
FAT_006-22-84-0_came_from_before	K20488	2
FAT_006-22-84-0_came_from_before	K20490	12
FAT_006-22-84-0_came_from_before	K20491	15
FAT_006-22-84-0_came_from_before	K20492	13
FAT_006-22-84-0_came_from_both	K20487	695
FAT_006-22-84-0_came_from_both	K20488	418
FAT_006-22-84-0_came_from_both	K20490	371
FAT_006-22-84-0_came_from_both	K20491	436
FAT_006-22-84-0_came_from_both	K20492	460
FAT_006-22-84-0_came_from_donor	K20487	3
FAT_006-22-84-0_came_from_donor	K20488	16
FAT_006-22-84-0_came_from_donor	K20490	1
FAT_006-22-84-0_came_from_donor	K20491	3
FAT_006-22-84-0_came_itself	K20487	31
FAT_006-22-84-0_came_itself	K20488	11
FAT_006-22-84-0_came_itself	K20490	13
FAT_006-22-84-0_came_itself	K20491	11
FAT_006-22-84-0_came_itself	K20492	9
FAT_006-22-84-0_gone	K20487	385
FAT_006-22-84-0_gone	K20488	154
FAT_006-22-84-0_gone	K20490	119
FAT_006-22-84-0_gone	K20491	147
FAT_006-22-84-0_gone	K20492	110
FAT_006-22-84-0_not_settle	K20487	2598
FAT_006-22-84-0_not_settle	K20488	1355
FAT_006-22-84-0_not_settle	K20490	1066
FAT_006-22-84-0_not_settle	K20491	891
FAT_006-22-84-0_not_settle	K20492	510
FAT_006-22-84-0_settle	K20487	11800
FAT_006-22-84-0_settle	K20488	6620
FAT_006-22-84-0_settle	K20490	5509
FAT_006-22-84-0_settle	K20491	7138
FAT_006-22-84-0_settle	K20492	7182
FAT_006-22-84-0_stay	K20487	2133
FAT_006-22-84-0_stay	K20488	1005
FAT_006-22-84-0_stay	K20490	1439
FAT_006-22-84-0_stay	K20491	1410
FAT_006-22-84-0_stay	K20492	1271
FAT_008-22-14-0_came_from_before	K20487	7
FAT_008-22-14-0_came_from_before	K20488	1
FAT_008-22-14-0_came_from_before	K20490	11
FAT_008-22-14-0_came_from_before	K20491	3
FAT_008-22-14-0_came_from_before	K20492	2
FAT_008-22-14-0_came_from_both	K20487	2898
FAT_008-22-14-0_came_from_both	K20488	1561
FAT_008-22-14-0_came_from_both	K20490	1840
FAT_008-22-14-0_came_from_both	K20491	1788
FAT_008-22-14-0_came_from_both	K20492	1979
FAT_008-22-14-0_came_from_donor	K20487	158
FAT_008-22-14-0_came_from_donor	K20488	138
FAT_008-22-14-0_came_from_donor	K20490	62
FAT_008-22-14-0_came_from_donor	K20491	93
FAT_008-22-14-0_came_from_donor	K20492	12
FAT_008-22-14-0_came_itself	K20487	229
FAT_008-22-14-0_came_itself	K20488	107
FAT_008-22-14-0_came_itself	K20490	139
FAT_008-22-14-0_came_itself	K20491	101
FAT_008-22-14-0_came_itself	K20492	48
FAT_008-22-14-0_gone	K20487	196
FAT_008-22-14-0_gone	K20488	89
FAT_008-22-14-0_gone	K20490	102
FAT_008-22-14-0_gone	K20491	51
FAT_008-22-14-0_gone	K20492	46
FAT_008-22-14-0_not_settle	K20487	1772
FAT_008-22-14-0_not_settle	K20488	612
FAT_008-22-14-0_not_settle	K20490	511
FAT_008-22-14-0_not_settle	K20491	327
FAT_008-22-14-0_not_settle	K20492	270
FAT_008-22-14-0_settle	K20487	15644
FAT_008-22-14-0_settle	K20488	10867
FAT_008-22-14-0_settle	K20490	8420
FAT_008-22-14-0_settle	K20491	9025
FAT_008-22-14-0_settle	K20492	8814
FAT_008-22-14-0_stay	K20487	2427
FAT_008-22-14-0_stay	K20488	1315
FAT_008-22-14-0_stay	K20490	1575
FAT_008-22-14-0_stay	K20491	1721
FAT_008-22-14-0_stay	K20492	1552
FAT_008-22-2-0_came_from_both	K20487	5029
FAT_008-22-2-0_came_from_both	K20488	3292
FAT_008-22-2-0_came_from_both	K20490	3028
FAT_008-22-2-0_came_from_both	K20491	3009
FAT_008-22-2-0_came_from_both	K20492	3185
FAT_008-22-2-0_came_from_donor	K20487	526
FAT_008-22-2-0_came_from_donor	K20488	372
FAT_008-22-2-0_came_from_donor	K20490	124
FAT_008-22-2-0_came_from_donor	K20491	255
FAT_008-22-2-0_came_from_donor	K20492	61
FAT_008-22-2-0_came_itself	K20487	133
FAT_008-22-2-0_came_itself	K20488	92
FAT_008-22-2-0_came_itself	K20490	95
FAT_008-22-2-0_came_itself	K20491	54
FAT_008-22-2-0_came_itself	K20492	56
FAT_008-22-2-0_gone	K20487	298
FAT_008-22-2-0_gone	K20488	143
FAT_008-22-2-0_gone	K20490	140
FAT_008-22-2-0_gone	K20491	96
FAT_008-22-2-0_gone	K20492	85
FAT_008-22-2-0_not_settle	K20487	1462
FAT_008-22-2-0_not_settle	K20488	598
FAT_008-22-2-0_not_settle	K20490	441
FAT_008-22-2-0_not_settle	K20491	333
FAT_008-22-2-0_not_settle	K20492	345
FAT_008-22-2-0_settle	K20487	16886
FAT_008-22-2-0_settle	K20488	11561
FAT_008-22-2-0_settle	K20490	8807
FAT_008-22-2-0_settle	K20491	9093
FAT_008-22-2-0_settle	K20492	8721
FAT_008-22-2-0_stay	K20487	2228
FAT_008-22-2-0_stay	K20488	1326
FAT_008-22-2-0_stay	K20490	1656
FAT_008-22-2-0_stay	K20491	1684
FAT_008-22-2-0_stay	K20492	1563
FAT_008-22-42-0_came_from_before	K20487	21
FAT_008-22-42-0_came_from_before	K20488	9
FAT_008-22-42-0_came_from_before	K20490	7
FAT_008-22-42-0_came_from_before	K20491	1
FAT_008-22-42-0_came_from_before	K20492	8
FAT_008-22-42-0_came_from_both	K20487	3871
FAT_008-22-42-0_came_from_both	K20488	2221
FAT_008-22-42-0_came_from_both	K20490	2329
FAT_008-22-42-0_came_from_both	K20491	2424
FAT_008-22-42-0_came_from_both	K20492	2134
FAT_008-22-42-0_came_from_donor	K20487	196
FAT_008-22-42-0_came_from_donor	K20488	116
FAT_008-22-42-0_came_from_donor	K20490	66
FAT_008-22-42-0_came_from_donor	K20491	80
FAT_008-22-42-0_came_from_donor	K20492	44
FAT_008-22-42-0_came_itself	K20487	114
FAT_008-22-42-0_came_itself	K20488	99
FAT_008-22-42-0_came_itself	K20490	102
FAT_008-22-42-0_came_itself	K20491	47
FAT_008-22-42-0_came_itself	K20492	31
FAT_008-22-42-0_gone	K20487	130
FAT_008-22-42-0_gone	K20488	89
FAT_008-22-42-0_gone	K20490	78
FAT_008-22-42-0_gone	K20491	46
FAT_008-22-42-0_gone	K20492	31
FAT_008-22-42-0_not_settle	K20487	1826
FAT_008-22-42-0_not_settle	K20488	553
FAT_008-22-42-0_not_settle	K20490	242
FAT_008-22-42-0_not_settle	K20491	332
FAT_008-22-42-0_not_settle	K20492	249
FAT_008-22-42-0_settle	K20487	15375
FAT_008-22-42-0_settle	K20488	10322
FAT_008-22-42-0_settle	K20490	8085
FAT_008-22-42-0_settle	K20491	9049
FAT_008-22-42-0_settle	K20492	8538
FAT_008-22-42-0_stay	K20487	2635
FAT_008-22-42-0_stay	K20488	1526
FAT_008-22-42-0_stay	K20490	1854
FAT_008-22-42-0_stay	K20491	1830
FAT_008-22-42-0_stay	K20492	1665
FAT_008-22-84-0_came_from_before	K20487	11
FAT_008-22-84-0_came_from_before	K20488	7
FAT_008-22-84-0_came_from_before	K20490	16
FAT_008-22-84-0_came_from_before	K20491	10
FAT_008-22-84-0_came_from_before	K20492	9
FAT_008-22-84-0_came_from_both	K20487	2759
FAT_008-22-84-0_came_from_both	K20488	1557
FAT_008-22-84-0_came_from_both	K20490	1830
FAT_008-22-84-0_came_from_both	K20491	1926
FAT_008-22-84-0_came_from_both	K20492	1661
FAT_008-22-84-0_came_from_donor	K20487	130
FAT_008-22-84-0_came_from_donor	K20488	102
FAT_008-22-84-0_came_from_donor	K20490	22
FAT_008-22-84-0_came_from_donor	K20491	34
FAT_008-22-84-0_came_from_donor	K20492	30
FAT_008-22-84-0_came_itself	K20487	67
FAT_008-22-84-0_came_itself	K20488	54
FAT_008-22-84-0_came_itself	K20490	60
FAT_008-22-84-0_came_itself	K20491	35
FAT_008-22-84-0_came_itself	K20492	22
FAT_008-22-84-0_gone	K20487	171
FAT_008-22-84-0_gone	K20488	73
FAT_008-22-84-0_gone	K20490	68
FAT_008-22-84-0_gone	K20491	45
FAT_008-22-84-0_gone	K20492	38
FAT_008-22-84-0_not_settle	K20487	1648
FAT_008-22-84-0_not_settle	K20488	257
FAT_008-22-84-0_not_settle	K20490	657
FAT_008-22-84-0_not_settle	K20491	377
FAT_008-22-84-0_not_settle	K20492	304
FAT_008-22-84-0_settle	K20487	15161
FAT_008-22-84-0_settle	K20488	10731
FAT_008-22-84-0_settle	K20490	7688
FAT_008-22-84-0_settle	K20491	8242
FAT_008-22-84-0_settle	K20492	8337
FAT_008-22-84-0_stay	K20487	2568
FAT_008-22-84-0_stay	K20488	1529
FAT_008-22-84-0_stay	K20490	1781
FAT_008-22-84-0_stay	K20491	1831
FAT_008-22-84-0_stay	K20492	1702
FAT_012-22-14-0_came_from_before	K20487	194
FAT_012-22-14-0_came_from_before	K20488	90
FAT_012-22-14-0_came_from_before	K20490	62
FAT_012-22-14-0_came_from_before	K20491	20
FAT_012-22-14-0_came_from_before	K20492	39
FAT_012-22-14-0_came_from_both	K20487	6252
FAT_012-22-14-0_came_from_both	K20488	4782
FAT_012-22-14-0_came_from_both	K20490	2598
FAT_012-22-14-0_came_from_both	K20491	3539
FAT_012-22-14-0_came_from_both	K20492	3092
FAT_012-22-14-0_came_from_donor	K20487	4
FAT_012-22-14-0_came_from_donor	K20488	21
FAT_012-22-14-0_came_from_donor	K20490	70
FAT_012-22-14-0_came_from_donor	K20491	11
FAT_012-22-14-0_came_itself	K20487	309
FAT_012-22-14-0_came_itself	K20488	146
FAT_012-22-14-0_came_itself	K20490	113
FAT_012-22-14-0_came_itself	K20491	143
FAT_012-22-14-0_came_itself	K20492	128
FAT_012-22-14-0_gone	K20487	267
FAT_012-22-14-0_gone	K20488	136
FAT_012-22-14-0_gone	K20490	86
FAT_012-22-14-0_gone	K20491	72
FAT_012-22-14-0_gone	K20492	92
FAT_012-22-14-0_not_settle	K20487	174
FAT_012-22-14-0_not_settle	K20488	233
FAT_012-22-14-0_not_settle	K20490	60
FAT_012-22-14-0_not_settle	K20491	28
FAT_012-22-14-0_not_settle	K20492	26
FAT_012-22-14-0_settle	K20487	4346
FAT_012-22-14-0_settle	K20488	3822
FAT_012-22-14-0_settle	K20490	2120
FAT_012-22-14-0_settle	K20491	2210
FAT_012-22-14-0_settle	K20492	2183
FAT_012-22-14-0_stay	K20487	8501
FAT_012-22-14-0_stay	K20488	7673
FAT_012-22-14-0_stay	K20490	4354
