Sample	non_sorting_sample_id	group	dataset
1	FAT_006-22-14-0_came_from_before	FAT_006-22-14-0	from_before	FMT
2	FAT_006-22-14-0_came_from_both	FAT_006-22-14-0	from_both	FMT
3	FAT_006-22-14-0_came_from_donor	FAT_006-22-14-0	from_donor	FMT
4	FAT_006-22-14-0_came_itself	FAT_006-22-14-0	itself	FMT
5	FAT_006-22-14-0_gone	FAT_006-22-14-0	gone	FMT
6	FAT_006-22-14-0_not_settle	FAT_006-22-14-0	not_settle	FMT
7	FAT_006-22-14-0_settle	FAT_006-22-14-0	settle	FMT
8	FAT_006-22-14-0_stay	FAT_006-22-14-0	stay	FMT
9	FAT_006-22-2-0_came_from_before	FAT_006-22-2-0	from_before	FMT
10	FAT_006-22-2-0_came_from_both	FAT_006-22-2-0	from_both	FMT
11	FAT_006-22-2-0_came_from_donor	FAT_006-22-2-0	from_donor	FMT
12	FAT_006-22-2-0_came_itself	FAT_006-22-2-0	itself	FMT
13	FAT_006-22-2-0_gone	FAT_006-22-2-0	gone	FMT
14	FAT_006-22-2-0_not_settle	FAT_006-22-2-0	not_settle	FMT
15	FAT_006-22-2-0_settle	FAT_006-22-2-0	settle	FMT
16	FAT_006-22-2-0_stay	FAT_006-22-2-0	stay	FMT
17	FAT_006-22-42-0_came_from_before	FAT_006-22-42-0	from_before	FMT
18	FAT_006-22-42-0_came_from_both	FAT_006-22-42-0	from_both	FMT
19	FAT_006-22-42-0_came_from_donor	FAT_006-22-42-0	from_donor	FMT
20	FAT_006-22-42-0_came_itself	FAT_006-22-42-0	itself	FMT
21	FAT_006-22-42-0_gone	FAT_006-22-42-0	gone	FMT
22	FAT_006-22-42-0_not_settle	FAT_006-22-42-0	not_settle	FMT
23	FAT_006-22-42-0_settle	FAT_006-22-42-0	settle	FMT
24	FAT_006-22-42-0_stay	FAT_006-22-42-0	stay	FMT
25	FAT_006-22-84-0_came_from_before	FAT_006-22-84-0	from_before	FMT
26	FAT_006-22-84-0_came_from_both	FAT_006-22-84-0	from_both	FMT
27	FAT_006-22-84-0_came_from_donor	FAT_006-22-84-0	from_donor	FMT
28	FAT_006-22-84-0_came_itself	FAT_006-22-84-0	itself	FMT
29	FAT_006-22-84-0_gone	FAT_006-22-84-0	gone	FMT
30	FAT_006-22-84-0_not_settle	FAT_006-22-84-0	not_settle	FMT
