featureid	Intercept	Subject[T.FAT_008]	Subject[T.FAT_012]	Subject[T.FAT_015]	Subject[T.FAT_020]	Subject[T.R01]	Subject[T.R02]	Subject[T.V1]	Subject[T.V2]	Subject[T.V3]	Donor[T.DS04]	Donor[T.FAT_DON_11]	Donor[T.FAT_DON_19]	Donor[T.FAT_DON_8]	Donor[T.SPB_T43]	Dataset[T.SPB18]	Dataset[T.VRIEZE12]	group[T.settle]	Time
K00001	-1.24337551481633	-1.22643473855986	-0.826586128393044	-1.32308280941828	-0.9390422801734	-0.344768664690995	-1.00733455506211	-1.13433560839148	-1.05858625810089	-1.01801853583627	-1.09610969398097	-1.01186394373117	-0.929363878524148	-0.88132430442855	-1.61147809926628	-1.60888040669483	-1.22825101215663	-0.916225056393702	-1.38970065232153
K00002	-0.102807616066022	0.0727979827688754	-0.625184954324593	0.337034578353323	-0.299193451857665	-1.0030834887953	-0.333772743614968	-0.0174205016180997	0.0484057482009925	0.00694436623281858	-0.583786672092237	-1.65436392704187	-1.23544976309522	-0.954024320629093	-0.0351929754412026	0.403476113004263	0.468645660092207	0.362281699435156	0.00213992480401748
K00003	1.24934938066097	0.0632620740698397	0.650114415964255	0.106463785201467	-0.265500078654388	0.239969053414321	-0.347049559029397	0.39471009263544	0.445415240121464	0.49787087036795	0.620763236545764	0.00913083871664622	0.246293513024008	-0.700531868424865	0.72779082353951	-0.519722706156199	0.173245517422529	0.416180510775488	-0.000744463165953224
K00005	0.142534996200518	-0.558107347412246	-0.453785509982934	-0.459409658878886	-1.06984814510355	0.126163729575133	-1.81199302760011	-0.445138008503628	-0.20033575932922	-0.215970448716217	2.14386075165196	-0.330833491479734	-0.55629131392225	-0.802758215156051	-1.02262211743949	-0.216606980638926	0.794480768849226	1.40156974341099	-0.00123357888098008
K00008	0.0142809402236506	-0.14603284112944	-0.744170897820821	0.0112692070306908	0.124627282166382	0.247764029648757	-0.0295139798248378	-0.486052603630734	-0.33726270835342	-0.467666081650787	0.392290288471423	0.0817838939076863	-0.184731694018686	0.292512880477455	0.928599825462118	0.469459885282095	0.838569847752424	1.26542343641941	0.000532745162293846
K00009	-1.71057835705189	0.248459069805008	-0.178366781392922	0.232068414718069	-0.554332385516265	-2.26613809809401	-0.48002573338395	-0.359108121304226	-0.197727996515652	-0.271871797307068	-0.301140314079084	-0.667501327192167	-0.533600868737542	0.706131802711037	-0.31201733056663	-0.31657624848408	-0.252648862193255	-2.79515932057675	-0.00170767422552354
K00010	-0.394616340469404	0.0345061708258212	0.415388583025108	-0.0168331908880104	-0.0222094754935297	-0.950991592261339	-0.216979349526223	-0.299105436711026	-0.199046451258083	-0.0968884150820313	-0.483611052966871	-0.125095245038847	-0.287852140223825	-0.0645056498913495	0.868490686973348	-0.212200051622813	-0.0845800955993217	0.138875623003881	0.000864266196534569
K00012	0.335721040893511	0.0686646390722812	-0.334518612542977	0.071206207305349	0.0551228423356024	2.06748256936357	0.133857404318992	1.09221783170252	0.904961686921696	0.97548181606955	1.7975844683878	-0.26689904609857	-0.526668192899072	-0.161304785099479	-0.761425146499857	1.54851304881054	1.98374411266026	-0.228650312169153	0.00246786955957168
K00013	1.06197431199642	0.0497431445883334	0.868363379320274	0.12034201148168	0.616840769791504	0.886270859387374	-0.772139216336068	0.140011577697086	0.180468898606876	0.193523951308197	1.60217302467748	0.82848954519095	0.118237106049216	0.0355527865023882	0.313766589721456	0.508310908002432	-0.291174443553118	0.239002485529821	0.000579236785218651
K00014	2.05474140756221	-0.107865245266098	0.992462753137717	-0.0722633647619118	0.193691064858338	-0.332821353230024	-0.438083613785562	0.253563671202945	0.407795291734318	0.434516855017609	0.0302314105264765	-0.516791727935652	-0.577630790030801	-1.60172457822845	-0.181177029052958	-0.488640791254465	0.0958914438980538	0.877154250399511	0.00113355998162978
