sample	gene_name	gene_length	width_cov	hits
FAT_015-22-84-0_gone	caer:CSV91_03100	771	180	6
FAT_015-22-84-0_gone	coo:CCU_23810	732	470	12
FAT_015-22-84-0_gone	eel:EUBELI_01661	732	448	13
FAT_015-22-84-0_gone	erb:A4V01_10500	744	164	8
FAT_015-22-84-0_gone	ere:EUBREC_0088	732	177	3
FAT_015-22-84-0_gone	psor:RSJ16_09125	723	73	1
FAT_015-22-84-0_gone	rix:RO1_33970	732	162	3
FAT_015-22-84-0_gone	rum:CK1_37040	747	412	15
SPB_T23_came_itself	acq:AM609_08260	1725	250	2
SPB_T23_came_itself	caer:CSV91_03100	771	246	2
SPB_T23_came_itself	coo:CCU_23810	732	338	4
SPB_T23_came_itself	eel:EUBELI_01661	732	418	7
SPB_T23_came_itself	ere:EUBREC_0088	732	250	2
SPB_T23_came_itself	rum:CK1_37040	747	414	5
FAT_008-22-14-0_came_from_both	coo:CCU_23810	732	732	291
FAT_008-22-14-0_came_from_both	eel:EUBELI_01661	732	732	295
FAT_008-22-14-0_came_from_both	ere:EUBREC_0088	732	711	81
FAT_008-22-14-0_came_from_both	rix:RO1_33970	732	729	141
FAT_008-22-14-0_came_from_both	rum:CK1_37040	747	747	980
FAT_008-22-14-0_came_from_before	caer:CSV91_03100	771	169	3
SPB_T23_stay	caer:CSV91_03100	771	391	18
SPB_T23_stay	coo:CCU_23810	732	732	277
SPB_T23_stay	eel:EUBELI_01661	732	732	231
SPB_T23_stay	ere:EUBREC_0088	732	522	24
SPB_T23_stay	rix:RO1_33970	732	732	108
SPB_T23_stay	rum:CK1_37040	747	747	301
FAT_006-22-42-0_came_from_both	caer:CSV91_03100	771	227	8
FAT_006-22-42-0_came_from_both	coo:CCU_23810	732	732	286
FAT_006-22-42-0_came_from_both	eel:EUBELI_01661	732	730	293
FAT_006-22-42-0_came_from_both	ere:EUBREC_0088	732	711	89
FAT_006-22-42-0_came_from_both	rix:RO1_33970	732	732	219
FAT_006-22-42-0_came_from_both	rum:CK1_37040	747	747	562
R01_W4_stay	coo:CCU_23810	732	732	185
R01_W4_stay	eel:EUBELI_01661	732	732	170
R01_W4_stay	ere:EUBREC_0088	732	720	58
R01_W4_stay	rix:RO1_33970	732	732	138
R01_W4_stay	rum:CK1_37040	747	747	1532
SPB_T25_not_settle	caer:CSV91_03100	771	665	9
SPB_T25_not_settle	coo:CCU_23810	732	379	4
SPB_T25_not_settle	eel:EUBELI_01661	732	613	11
SPB_T25_not_settle	rix:RO1_33970	732	246	2
SPB_T25_not_settle	rum:CK1_37040	747	196	1
FAT_015-22-42-0_gone	caer:CSV91_03100	771	180	6
FAT_015-22-42-0_gone	coo:CCU_23810	732	294	8
FAT_015-22-42-0_gone	eel:EUBELI_01661	732	383	9
FAT_015-22-42-0_gone	erb:A4V01_10500	744	164	8
FAT_015-22-42-0_gone	ere:EUBREC_0088	732	267	5
FAT_015-22-42-0_gone	psor:RSJ16_09125	723	73	1
FAT_015-22-42-0_gone	rix:RO1_33970	732	364	6
FAT_015-22-42-0_gone	rum:CK1_37040	747	406	13
FAT_008-22-2-0_not_settle	caer:CSV91_03100	771	64	1
FAT_008-22-2-0_not_settle	coo:CCU_23810	732	692	81
FAT_008-22-2-0_not_settle	eel:EUBELI_01661	732	708	85
FAT_008-22-2-0_not_settle	ele:Elen_1168	777	93	1
FAT_008-22-2-0_not_settle	ere:EUBREC_0088	732	688	47
FAT_008-22-2-0_not_settle	rix:RO1_33970	732	634	86
FAT_008-22-2-0_not_settle	rob:CK5_35830	720	458	13
FAT_008-22-2-0_not_settle	rum:CK1_37040	747	607	19
SPB_T39_stay	caer:CSV91_03100	771	391	10
SPB_T39_stay	coo:CCU_23810	732	732	75
SPB_T39_stay	eel:EUBELI_01661	732	732	47
SPB_T39_stay	ere:EUBREC_0088	732	670	30
SPB_T39_stay	rix:RO1_33970	732	732	102
SPB_T39_stay	rum:CK1_37040	747	746	151
FAT_020-22-14-0_came_from_before	caer:CSV91_03100	771	658	27
FAT_020-22-14-0_came_from_before	coo:CCU_23810	732	460	8
FAT_020-22-14-0_came_from_before	eel:EUBELI_01661	732	122	3
FAT_020-22-14-0_came_from_before	ere:EUBREC_0088	732	274	8
FAT_020-22-14-0_came_from_before	rix:RO1_33970	732	340	18
SPB_T27_gone	acq:AM609_08260	1725	361	2
