ncbi	sample	group	mapped	coverage
NZ_QRHD01000001.1	high_10M	came_from_before	36	NA
NZ_QRHD01000001.1	high_10M	came_from_both	39724	NA
NZ_QRHD01000001.1	high_10M	came_from_donor	1085	2.89674446782627
NZ_QRHD01000001.1	high_10M	came_itself	348	NA
NZ_QRHD01000001.1	high_1M	came_from_before	7	NA
NZ_QRHD01000001.1	high_1M	came_from_both	125	NA
NZ_QRHD01000001.1	high_1M	came_from_donor	35	0.101262334802468
NZ_QRHD01000001.1	high_1M	came_itself	346	NA
NZ_QRHD01000001.1	high_25M	came_from_both	105777	NA
NZ_QRHD01000001.1	high_25M	came_from_donor	7100	6.26582907730585
NZ_QRHD01000001.1	high_25M	came_itself	3	NA
NZ_QRHD01000001.1	high_50M	came_from_before	15	NA
NZ_QRHD01000001.1	high_50M	came_from_both	370270	NA
NZ_QRHD01000001.1	high_50M	came_from_donor	5080	2.58353786648596
NZ_QRHD01000001.1	high_50M	came_itself	41	NA
NZ_QRHD01000001.1	high_5M	came_from_both	13537	NA
NZ_QRHD01000001.1	high_5M	came_from_donor	474	0.246033171321709
NZ_QRHD01000001.1	high_5M	came_itself	11	NA
NZ_QRHK01000001.1	high_10M	came_from_donor	33	0.159961158660624
NZ_QRHK01000001.1	high_10M	came_itself	1267	NA
NZ_QRHK01000001.1	high_1M	came_from_donor	NA	0.011414103771419
NZ_QRHK01000001.1	high_1M	came_itself	240	NA
NZ_QRHK01000001.1	high_25M	came_from_both	31	NA
NZ_QRHK01000001.1	high_25M	came_from_donor	40835	2.67813494687366
NZ_QRHK01000001.1	high_50M	came_from_before	4	NA
NZ_QRHK01000001.1	high_50M	came_from_both	29	NA
NZ_QRHK01000001.1	high_50M	came_from_donor	3839	2.15151907627258
NZ_QRHK01000001.1	high_50M	came_itself	2843	NA
NZ_QRHK01000001.1	high_5M	came_from_before	1	NA
NZ_QRHK01000001.1	high_5M	came_from_both	1	NA
NZ_QRHK01000001.1	high_5M	came_from_donor	44	1.00635973982475
NZ_QRHK01000001.1	high_5M	came_itself	6042	NA
NZ_QRHS01000001.1	high_10M	came_from_before	10441	1.15663760562984
NZ_QRHS01000001.1	high_10M	came_from_both	766	NA
NZ_QRHS01000001.1	high_10M	came_itself	242	1.15663760562984
NZ_QRHS01000001.1	high_1M	came_from_before	5	0.91678033465703
NZ_QRHS01000001.1	high_1M	came_from_both	6	NA
NZ_QRHS01000001.1	high_1M	came_itself	16334	0.91678033465703
NZ_QRHS01000001.1	high_25M	came_from_before	411421	22.3336747293161
NZ_QRHS01000001.1	high_25M	came_from_both	12030	NA
NZ_QRHS01000001.1	high_25M	came_itself	16	22.3336747293161
NZ_QRHS01000001.1	high_50M	came_from_before	86036	5.09138136335704
NZ_QRHS01000001.1	high_50M	came_from_both	8213	NA
NZ_QRHS01000001.1	high_50M	came_itself	32	5.09138136335704
NZ_QRHS01000001.1	high_5M	came_from_before	1336	0.545185934482951
NZ_QRHS01000001.1	high_5M	came_from_both	248	NA
NZ_QRHS01000001.1	high_5M	came_from_donor	3	NA
NZ_QRHS01000001.1	high_5M	came_itself	1185	0.545185934482951
NZ_QRHT01000001.1	high_10M	came_from_before	213	0.371919878402208
NZ_QRHT01000001.1	high_10M	came_from_both	1140	0.371919878402208
NZ_QRHT01000001.1	high_10M	came_from_donor	58	0.371919878402208
NZ_QRHT01000001.1	high_10M	came_itself	237	NA
NZ_QRHT01000001.1	high_1M	came_from_before	29	0.378382999945524
NZ_QRHT01000001.1	high_1M	came_from_both	NA	0.378382999945524
NZ_QRHT01000001.1	high_1M	came_from_donor	6	0.378382999945524
NZ_QRHT01000001.1	high_1M	came_itself	1819	NA
NZ_QRHT01000001.1	high_25M	came_from_before	14861	11.5185820221638
NZ_QRHT01000001.1	high_25M	came_from_both	2128	11.5185820221638
NZ_QRHT01000001.1	high_25M	came_from_donor	14	11.5185820221638
NZ_QRHT01000001.1	high_25M	came_itself	2216	NA
NZ_QRHT01000001.1	high_50M	came_from_before	57	5.50044783645564
NZ_QRHT01000001.1	high_50M	came_from_both	54525	5.50044783645564
NZ_QRHT01000001.1	high_50M	came_from_donor	43	5.50044783645564
NZ_QRHT01000001.1	high_50M	came_itself	4	NA
NZ_QRHT01000001.1	high_5M	came_from_before	6237	0.528075992592113
NZ_QRHT01000001.1	high_5M	came_from_both	179	0.528075992592113
NZ_QRHT01000001.1	high_5M	came_from_donor	NA	0.528075992592113
NZ_QRHT01000001.1	high_5M	came_itself	12	NA
NZ_QRIC01000001.1	high_10M	came_from_before	2888	3.07034910704609
NZ_QRIC01000001.1	high_10M	came_from_both	1321	3.07034910704609
NZ_QRIC01000001.1	high_10M	came_from_donor	4	3.07034910704609
NZ_QRIC01000001.1	high_10M	came_itself	1383	NA
NZ_QRIC01000001.1	high_1M	came_from_before	NA	0.058447780338306
NZ_QRIC01000001.1	high_1M	came_from_both	12	0.058447780338306
NZ_QRIC01000001.1	high_1M	came_from_donor	NA	0.058447780338306
NZ_QRIC01000001.1	high_1M	came_itself	1917	NA
NZ_QRIC01000001.1	high_25M	came_from_before	NA	0.182475332694558
NZ_QRIC01000001.1	high_25M	came_from_both	2843	0.182475332694558
NZ_QRIC01000001.1	high_25M	came_from_donor	360	0.182475332694558
NZ_QRIC01000001.1	high_25M	came_itself	5	NA
NZ_QRIC01000001.1	high_50M	came_from_before	NA	5.38285292737736
NZ_QRIC01000001.1	high_50M	came_from_both	25792	5.38285292737736
NZ_QRIC01000001.1	high_50M	came_from_donor	1992	5.38285292737736
NZ_QRIC01000001.1	high_5M	came_from_before	3	0.737854365300122
NZ_QRIC01000001.1	high_5M	came_from_both	529	0.737854365300122
NZ_QRIC01000001.1	high_5M	came_from_donor	309	0.737854365300122
NZ_QRIC01000001.1	high_5M	came_itself	217	NA
NZ_QRII01000001.1	high_10M	came_from_before	204	NA
NZ_QRII01000001.1	high_10M	came_from_both	1073	NA
NZ_QRII01000001.1	high_10M	came_from_donor	90	0.443078633404949
NZ_QRII01000001.1	high_10M	came_itself	1077	NA
NZ_QRII01000001.1	high_1M	came_from_before	19	NA
NZ_QRII01000001.1	high_1M	came_from_donor	4	0.438878348450163
NZ_QRII01000001.1	high_1M	came_itself	3181	NA
NZ_QRII01000001.1	high_25M	came_from_before	6410	NA
NZ_QRII01000001.1	high_25M	came_from_both	1549	NA
NZ_QRII01000001.1	high_25M	came_from_donor	14	0.457519723725046
NZ_QRII01000001.1	high_25M	came_itself	1307	NA
NZ_QRII01000001.1	high_50M	came_from_before	130	NA
NZ_QRII01000001.1	high_50M	came_from_both	31696	NA
NZ_QRII01000001.1	high_50M	came_from_donor	560	0.370463226984545
NZ_QRII01000001.1	high_50M	came_itself	118	NA
NZ_QRII01000001.1	high_5M	came_from_before	3047	NA
NZ_QRII01000001.1	high_5M	came_from_both	165	NA
NZ_QRII01000001.1	high_5M	came_from_donor	6	0.118087580605274
NZ_QRII01000001.1	high_5M	came_itself	643	NA
NZ_QRIJ01000001.1	high_10M	came_from_before	3089	4.96342262709029
NZ_QRIJ01000001.1	high_10M	came_from_both	1408	NA
